time_us,ax,ay,az,gx,gy,gz
0,0.126893,-0.699107,9.004593,-2.996492,8.254294,1.072016
4000,0.031125,-0.770933,8.856153,-2.920156,8.269562,1.209421
8000,0.031125,-0.770933,8.887277,-2.736950,7.155058,1.148352
12000,0.069432,-0.763750,8.712500,-2.187331,5.842081,0.888810
16000,0.124498,-0.715866,8.757990,-1.805652,4.147425,0.812474
20000,0.095768,-0.715866,8.719683,-1.851454,2.345898,0.339192
24000,0.169988,-0.758962,8.872911,-1.897255,1.109257,-0.576838
28000,0.189142,-0.713472,9.057265,-1.485041,0.697043,-0.866915
32000,0.141258,-0.758962,9.066842,-1.179698,0.177959,-1.065388
36000,-0.038307,-0.766145,9.107543,-0.569010,-0.432728,-1.034854
40000,-0.026336,-0.770933,9.155427,0.637096,0.529104,-1.019587
44000,-0.107739,-0.754174,9.033323,1.034043,1.826814,-0.668442
48000,-0.217872,-0.691924,8.860941,0.713432,3.460402,0.247589
52000,-0.208296,-0.627281,8.717288,-0.156797,4.788646,0.858276
56000,-0.311246,-0.672771,8.578424,-1.042293,5.704677,2.125452
60000,-0.328006,-0.651223,8.578424,-1.530843,6.116890,2.904078
64000,-0.344765,-0.600945,8.655039,-2.065194,6.620707,3.514765
68000,-0.153229,-0.610521,8.588001,-2.569010,7.185593,4.186521
72000,-0.062249,-0.562637,8.532935,-2.813286,7.689410,4.369727
76000,-0.114922,-0.593762,8.499416,-3.225499,7.460402,4.125452
80000,-0.064643,-0.605733,8.410830,-4.126263,6.193226,3.743773
84000,-0.023942,-0.600945,8.465898,-4.798018,4.483303,3.270490
88000,0.033519,-0.610521,8.449138,-5.576645,2.544371,2.919345
92000,0.067038,-0.632069,8.453926,-5.927790,0.254295,2.155986
96000,0.174777,-0.703895,8.501810,-5.256034,-2.447995,0.858276
100000,0.071826,-0.696713,8.702923,-3.897255,-4.967079,0.430795
104000,-0.016759,-0.744597,8.647857,-2.416339,-7.150285,0.003314
108000,-0.035913,-0.713472,8.688558,-1.912522,-8.157919,0.125452
112000,-0.043096,-0.742203,8.884883,-1.729316,-8.554866,0.308658
116000,0.050278,-0.787692,8.930372,-1.240766,-7.745705,0.430795
120000,0.074220,-0.806846,8.920795,-0.798018,-6.035781,0.766673
124000,0.071826,-0.758962,8.973468,-0.691148,-5.119751,0.858276
