time_us,ax,ay,az,gx,gy,gz
0,1.577779,-0.639252,8.592790,-2.477408,1.155058,-4.317297
4000,1.584962,-0.706290,8.784326,-2.492675,3.078722,-3.767678
8000,1.589750,-0.691924,8.856153,-2.889621,6.162692,-2.897449
12000,1.556231,-0.711078,8.791509,-3.332370,8.971851,-2.118823
16000,1.505953,-0.737414,8.896853,-3.958324,10.788646,-1.050121
20000,1.553837,-0.770933,9.112331,-3.469774,13.093989,-0.225693
24000,1.661576,-0.756568,9.311050,-2.569010,15.368798,0.675070
28000,1.731008,-0.691924,9.114726,-2.263667,16.727577,1.010948
32000,1.699883,-0.708684,8.987833,-2.996492,17.292461,0.919345
36000,1.745373,-0.644040,8.961497,-2.340003,17.979485,0.949879
40000,1.833959,-0.660800,8.932767,-2.431606,16.849714,0.125452
44000,1.910573,-0.682347,9.117120,-2.278934,16.254293,-0.225693
48000,2.039860,-0.701501,9.251195,-1.057560,16.635973,-0.897449
52000,2.047042,-0.646434,9.143456,-0.187331,18.315363,-1.553938
56000,1.934515,-0.620098,9.105149,0.743966,18.574905,-1.889816
60000,1.781286,-0.627281,9.095572,1.430989,16.819180,-2.347831
64000,1.845930,-0.634463,9.169792,2.240149,17.063456,-2.561571
68000,1.766921,-0.639252,8.966286,2.789768,18.010019,-2.531037
72000,1.685518,-0.565032,8.956709,2.499691,18.223761,-2.225693
76000,1.651999,-0.521936,8.978256,2.530226,19.246660,-1.767678
80000,1.771709,-0.562637,9.018958,1.873737,21.353531,-1.111190
84000,1.817199,-0.483629,8.899248,0.866104,25.109257,-0.240961
88000,1.912967,-0.490811,9.040505,-0.248400,30.406965,0.339192
92000,1.810017,-0.545878,9.373300,-0.294202,33.536736,0.552933
96000,1.891419,-0.644040,9.524135,-0.156797,36.315365,0.568200
100000,1.843535,-0.632069,9.624691,0.148546,39.582539,1.087284
104000,1.659182,-0.579397,9.370906,0.209615,42.803913,1.530032
108000,1.486799,-0.577003,9.196129,-0.874354,45.719944,2.919345
112000,1.434127,-0.610521,9.133880,-2.492675,48.544373,4.339192
116000,1.568202,-0.579397,9.062054,-3.988858,51.842079,5.499497
120000,1.577779,-0.550666,9.126697,-6.080462,57.185593,7.224689
124000,1.563414,-0.598550,9.126697,-7.683515,62.864983,8.827742
128000,1.611298,-0.524330,8.992621,-9.866721,68.681778,9.988047
132000,1.529895,-0.591368,8.935161,-12.110995,73.933685,11.072016
136000,1.616086,-0.610521,8.817844,-13.454507,78.758118,12.217054
140000,1.458069,-0.531513,8.774749,-15.378171,84.071091,12.614001
144000,1.175553,-0.500388,8.422802,-16.492674,83.857353,12.537665
148000,1.115698,-0.586579,8.544906,-18.401072,85.093994,12.262856
152000,0.993594,-0.663194,8.652645,-18.721682,88.544373,13.209421
156000,0.730232,-0.706290,8.602366,-19.149162,89.994759,13.881176
160000,0.584185,-0.634463,8.418014,-19.378170,89.231400,14.507131
164000,0.565032,-0.663194,8.590396,-19.546110,88.010025,15.133085
168000,0.586579,-0.677559,8.573636,-21.271299,87.445137,15.087283
172000,0.337582,-0.835576,9.035717,-19.958323,89.384071,16.995682
176000,0.562637,-0.849942,9.131485,-17.881987,89.796280,18.049116
180000,0.770933,-0.864307,9.179369,-16.248400,92.788651,18.415529
184000,0.660800,-0.811634,8.999804,-15.576644,95.124527,18.644537
188000,0.586579,-0.763750,8.882488,-14.950690,95.781013,18.415529
192000,0.560243,-0.806846,8.920795,-15.042293,95.200867,18.155987
196000,0.579397,-0.837971,8.997410,-14.736949,94.559639,17.499498
200000,0.605733,-0.830788,9.081207,-14.126264,95.032921,16.781940
204000,0.502782,-0.804452,8.937555,-14.141530,94.513840,16.354460
208000,0.521936,-0.861913,9.014170,-13.775117,95.353539,15.606368
212000,0.407014,-0.876278,9.028535,-14.080461,95.979492,14.965146
216000,0.213084,-0.964863,8.889671,-14.233132,97.445137,14.614001
220000,-0.038307,-0.931344,8.597578,-14.034659,98.300102,14.537665
224000,-0.332794,-0.955287,8.528147,-13.790385,96.605446,14.140718
228000,-0.426168,-0.981623,8.549694,-13.103362,93.704681,13.621634
232000,-0.502782,-0.981623,8.573636,-11.759851,90.620712,12.934611
236000,-0.500388,-0.943315,8.559271,-10.584278,87.506210,12.064383
240000,-0.553061,-0.888249,8.504205,-9.652981,83.979492,10.629268
244000,-0.474052,-0.849942,8.662222,-8.981225,81.292465,9.499497
248000,-0.536301,-0.964863,8.707711,-7.988858,80.025291,8.537665
252000,-0.466869,-0.926556,8.999804,-6.706415,78.971855,7.606368
256000,-0.493206,-1.048660,9.148245,-5.301835,80.239029,6.781940
260000,-0.653617,-1.055843,9.107543,-3.851454,80.223763,6.308658
264000,-0.936133,-1.053449,8.868123,-2.889621,79.628342,6.186521
268000,-1.115698,-1.074997,8.918402,-2.736950,78.544373,6.323925
272000,-1.055843,-1.151611,8.923190,-2.538476,78.040558,6.446063
276000,-1.170765,-1.089362,8.884883,-2.446873,78.590179,7.133085
280000,-1.185130,-1.046266,8.779537,-3.561377,79.872620,8.247588
284000,-1.206678,-0.969652,8.796297,-5.317102,83.063461,9.209421
288000,-1.108515,-0.964863,8.633492,-7.485042,87.704681,10.858275
292000,-1.278504,-0.842759,8.420407,-9.378171,91.994759,11.957512
296000,-1.424550,-0.885855,8.389283,-11.408706,95.765747,13.072016
300000,-1.556231,-0.849942,8.269572,-13.546111,98.697044,14.461329
304000,-1.587356,-0.888249,8.269572,-14.965957,100.071091,15.194154
308000,-1.721431,-0.921768,8.319851,-15.805652,99.887886,15.636901
312000,-1.687912,-0.940921,8.370130,-16.859087,97.521477,15.896443
316000,-1.690306,-0.976834,8.492233,-16.889620,97.032921,15.743772
320000,-1.678335,-1.043872,8.623915,-16.645346,95.429871,15.301023
324000,-1.778892,-1.120486,8.588001,-16.248400,94.559639,14.858275
