time_us,ax,ay,az,gx,gy,gz
0,0.770933,-1.323994,9.162610,7.889005,-12.188454,-4.011953
4000,0.656011,-1.276109,9.114726,8.835569,-11.989981,-5.019587
8000,0.620098,-1.173159,8.908825,9.079844,-11.211354,-5.431800
12000,0.464475,-1.154005,8.578424,9.308852,-10.615934,-5.431800
16000,0.440533,-1.194707,8.372523,9.018776,-9.501431,-5.340197
20000,0.160412,-1.096544,8.149862,7.873737,-9.409828,-4.683709
24000,0.138864,-1.077391,8.221688,6.743966,-10.325858,-4.363098
28000,0.153229,-1.019930,8.224083,5.736333,-10.005248,-3.447068
32000,0.227449,-0.967257,8.245630,4.774501,-8.875477,-2.286762
36000,0.184354,-0.960075,8.288726,3.812669,-7.058682,-1.447067
40000,0.150835,-0.993594,8.262390,2.988241,-5.898377,-0.027220
44000,0.098162,-0.933739,8.248025,1.873737,-4.951812,0.873543
48000,0.081403,-0.900220,8.159439,0.285951,-4.539598,2.079650
52000,0.074220,-0.864307,8.190564,-1.042293,-4.386927,3.255223
56000,0.215478,-0.871489,8.274361,-2.355270,-4.127385,4.201787
60000,0.284910,-0.859518,8.288726,-3.271301,-3.608301,4.965147
64000,0.380678,-0.806846,8.566454,-3.729316,-2.814408,5.499497
68000,0.488417,-0.876278,8.712500,-3.714049,-2.890743,5.346826
72000,0.478840,-0.809240,8.700529,-3.881988,-3.440362,5.346826
76000,0.454898,-0.854730,8.746018,-4.294202,-5.226621,4.843009
80000,0.474052,-0.811634,8.877700,-4.462141,-7.470896,4.400261
84000,0.715866,-0.873884,9.121908,-3.591912,-9.684637,3.636902
88000,0.828394,-0.835576,9.294291,-2.141530,-11.440362,2.140719
92000,0.823605,-0.869095,9.349358,-1.149163,-13.822042,0.873543
96000,0.802058,-0.957681,9.373300,1.201982,-16.142653,-0.637907
100000,0.754174,-1.003170,9.411607,3.705798,-19.073950,-2.118823
104000,0.782904,-1.022324,9.514558,6.056943,-22.142653,-3.523403
108000,0.835576,-1.019930,9.449914,8.285952,-24.218988,-4.958518
112000,0.751779,-1.024718,9.552865,10.866104,-26.173187,-5.813479
116000,0.629675,-1.077391,9.519346,12.316485,-28.020515,-6.744777
120000,0.478840,-1.036689,9.294291,13.476790,-29.898378,-7.065388
124000,0.411803,-0.995988,9.162610,13.904271,-30.463263,-7.034853
128000,0.294487,-1.091756,9.167398,13.873737,-31.135019,-6.576838
132000,0.160412,-1.089362,8.959103,14.453890,-32.906010,-6.042487
136000,0.107739,-1.027112,8.932767,14.209615,-35.012882,-5.737144
140000,0.158017,-1.036689,8.913613,13.858470,-35.715172,-5.050121
144000,0.112527,-1.005565,9.016563,13.064577,-35.989979,-4.760045
148000,0.057461,-1.058237,9.117120,12.118012,-36.967079,-4.118823
152000,0.191536,-1.089362,8.980651,13.782134,-36.982346,-3.844014
156000,0.050278,-1.005565,8.777143,13.400455,-38.707539,-3.401266
160000,0.126893,-0.931344,8.626308,13.568394,-41.760971,-4.057755
164000,0.241814,-0.972046,8.669404,14.713431,-45.364025,-5.111189
168000,0.141258,-0.962469,8.494628,15.507325,-50.218987,-6.378365
172000,0.019154,-0.974440,8.633492,17.308851,-55.928913,-7.294395
176000,0.059855,-1.072602,8.559271,19.415722,-61.928913,-8.775312
180000,-0.136469,-1.046266,8.549694,21.690533,-69.165550,-9.905083
184000,-0.186748,-1.036689,8.564059,24.163815,-76.554863,-10.714244
188000,-0.196325,-1.058237,8.554482,26.224884,-83.409821,-11.019587
192000,-0.198719,-1.000776,8.559271,28.194349,-90.264786,-11.263862
196000,-0.129287,-0.993594,8.552089,29.950073,-95.486160,-11.004320
200000,-0.011971,-0.972046,8.635885,31.064577,-99.516693,-10.698977
204000,0.313640,-0.936133,8.746018,31.873737,-101.669365,-10.088289
208000,0.565032,-0.900220,8.839393,32.530224,-101.913643,-10.027221
212000,0.725443,-0.909797,8.734048,32.285950,-102.173180,-9.889816
216000,0.823605,-0.847547,8.856153,32.133278,-102.478523,-9.462335
220000,0.962469,-0.785298,8.805874,32.270683,-101.883110,-8.668442
224000,1.161188,-0.861913,8.841787,32.087479,-100.890739,-8.271495
228000,1.242591,-0.787692,8.657434,31.308853,-99.165550,-7.447067
232000,1.233014,-0.636858,8.489840,29.904272,-98.005241,-7.202793
236000,1.448492,-0.763750,8.461109,29.843204,-96.936539,-6.454701
240000,1.766921,-0.814029,8.013393,28.759233,-101.501427,-7.615006
244000,1.994370,-0.711078,8.279149,28.499693,-94.890739,-7.187525
248000,1.553837,-0.521936,8.010999,27.156181,-104.249519,-10.225694
252000,1.977611,-0.524330,7.797915,28.072212,-110.356392,-11.340198
256000,2.336741,-0.529119,7.963115,29.140913,-113.257149,-13.019587
260000,2.324770,-0.512359,7.987057,30.545494,-118.692268,-15.477602
264000,2.492364,-0.502782,7.884106,31.415724,-124.539597,-17.477602
268000,2.552219,-0.502782,7.967903,31.950073,-131.012878,-20.332563
272000,2.614468,-0.457293,8.032547,32.285950,-135.944183,-22.195158
276000,2.889802,-0.536301,8.073248,33.324120,-139.440369,-24.469967
280000,3.038242,-0.433351,7.979874,33.690533,-143.043427,-27.294395
284000,3.014300,-0.407014,8.049306,34.530224,-145.241898,-29.508135
288000,3.145981,-0.339977,8.159439,34.927174,-148.707535,-31.767677
292000,3.414132,-0.397437,8.058883,36.362289,-153.348770,-34.240959
296000,3.648763,-0.414197,8.231265,37.736332,-154.768616,-36.775311
300000,3.773262,-0.414197,8.161834,38.255417,-155.898376,-39.645538
304000,3.818752,-0.339977,8.080431,38.209618,-157.058685,-42.500504
308000,3.842694,-0.289698,8.106767,37.598930,-153.455627,-43.309662
312000,3.593697,-0.222661,8.169016,37.003510,-151.470901,-44.088287
316000,3.383007,-0.287304,8.044518,36.392822,-152.051056,-44.424168
320000,3.490746,-0.304064,8.080431,35.766869,-151.180817,-44.011951
324000,3.818752,-0.229843,8.075643,35.858471,-149.226624,-44.134090
328000,3.701436,-0.167594,7.819463,33.843204,-148.310593,-44.637905
332000,3.785233,-0.172383,7.730877,31.995876,-147.608307,-45.065388
336000,3.797204,-0.213084,7.678205,31.369921,-146.707535,-44.729511
340000,3.545813,-0.239420,7.702147,30.682898,-147.547241,-44.424168
344000,3.634398,-0.339977,7.706935,29.919540,-149.944183,-43.889816
348000,3.708618,-0.347159,7.647080,29.919540,-151.318222,-43.599739
352000,3.538630,-0.347159,7.441179,29.690533,-152.906021,-43.233326
356000,3.371036,-0.306458,7.333440,29.782135,-156.081589,-41.981419
360000,3.105280,-0.320823,7.436390,29.721066,-160.692276,-40.393631
364000,2.995146,-0.387861,7.465121,29.614197,-165.379303,-37.599739
368000,2.947262,-0.409408,7.445967,28.896639,-168.173187,-34.637905
372000,2.916138,-0.421380,7.546524,28.377556,-170.005249,-31.355463
