time_us,ax,ay,az,gx,gy,gz
0,-0.299275,-1.561020,8.542512,-0.828552,2.590173,1.041482
4000,-0.275333,-1.596933,8.547300,-0.736950,3.765745,1.026215
8000,-0.251391,-1.503559,8.516175,-0.706415,4.101623,1.056749
12000,-0.270545,-1.422156,8.295909,-1.057560,3.490936,0.736139
16000,-0.222661,-1.474828,8.394072,-0.965957,3.032921,0.781940
20000,-0.213084,-1.343147,8.482656,-0.691148,2.987119,0.552933
24000,-0.038307,-1.355118,8.724471,-0.278934,5.109257,0.507131
28000,0.033519,-1.350330,8.681376,0.576027,5.872615,0.278123
32000,0.062249,-1.321599,8.513782,1.079844,6.376432,-0.546304
36000,0.007183,-1.352724,8.362947,1.324119,6.330631,-1.355464
40000,-0.138864,-1.312023,8.135497,0.805035,4.651241,-1.889816
44000,-0.265756,-1.443704,8.346188,0.499691,3.460402,-2.302029
48000,-0.328006,-1.417367,8.501810,-0.355270,2.284829,-2.408900
52000,-0.354342,-1.520318,8.523358,-0.798018,1.368798,-2.531037
56000,-0.519542,-1.505953,8.501810,-1.103362,0.956585,-2.469968
60000,-0.541090,-1.527501,8.568848,-1.988858,0.742844,-2.073022
64000,-0.533907,-1.572991,8.449138,-2.874354,0.254295,-2.027220
68000,-0.596156,-1.601721,8.552089,-3.515576,-0.554866,-1.721877
72000,-0.627281,-1.613692,8.621520,-4.507942,-0.310591,-1.385999
76000,-0.672771,-1.707066,8.743625,-5.286569,0.406966,-0.973785
80000,-0.567426,-1.685518,8.796297,-5.423973,1.567272,-0.210426
84000,-0.648829,-1.723825,8.839393,-5.683515,2.880249,0.323925
88000,-0.560243,-1.750161,8.932767,-5.607179,3.918417,0.995681
92000,-0.474052,-1.731008,8.944737,-5.393438,5.948951,1.407894
96000,-0.519542,-1.733402,8.762778,-5.607179,7.460402,1.667436
100000,-0.469264,-1.668759,8.705317,-5.698782,7.811547,2.247589
104000,-0.445322,-1.726219,8.717288,-6.126263,8.269562,2.293390
108000,-0.383072,-1.678335,8.796297,-6.278934,8.223760,2.552932
112000,-0.311246,-1.680730,8.868123,-6.217866,8.086355,2.598734
116000,-0.313640,-1.668759,8.963891,-5.805653,7.796279,2.400261
120000,-0.270545,-1.719037,9.030929,-5.149163,7.781012,2.507131
124000,-0.153229,-1.805228,9.083601,-4.034659,7.933684,2.140719
128000,-0.177171,-1.709460,9.083601,-2.965957,7.719944,1.789574
132000,-0.258574,-1.690306,9.117120,-1.469774,7.414600,1.270490
136000,-0.289698,-1.707066,9.176975,-0.202598,6.712310,0.888810
140000,-0.392649,-1.673547,8.975863,0.835569,5.490936,0.537665
144000,-0.351948,-1.711854,8.913613,2.163814,4.864982,0.705604
148000,-0.438139,-1.604115,8.825027,2.652363,4.590173,0.705604
152000,-0.328006,-1.527501,8.535329,3.278317,3.109257,0.705604
156000,-0.462081,-1.534683,8.350976,2.896638,1.475669,0.629268
160000,-0.287304,-1.541866,8.267179,2.102745,0.529104,0.522398
164000,-0.251391,-1.419762,8.370130,0.835569,0.834447,0.247589
168000,-0.268151,-1.448492,8.298303,-0.324736,1.658875,0.598734
172000,-0.332794,-1.462857,8.295909,-1.210232,2.742844,0.461329
176000,-0.198719,-1.393425,8.219295,-2.263667,3.979486,0.552933
180000,-0.258574,-1.453280,8.224083,-3.439240,5.521471,0.843009
184000,-0.280122,-1.462857,8.133103,-4.294202,6.971852,1.010948
188000,-0.361524,-1.417367,8.008605,-5.805653,7.842081,1.392627
192000,-0.347159,-1.436521,8.101978,-7.149163,8.819180,1.331558
196000,-0.450110,-1.484405,8.056489,-8.538477,10.284829,1.728505
200000,-0.404620,-1.462857,8.015787,-9.637713,11.048187,2.094917
204000,-0.471658,-1.527501,8.018182,-10.492675,11.536737,2.461329
208000,-0.572214,-1.572991,7.831434,-11.729317,11.353531,2.736139
212000,-0.574608,-1.541866,7.879318,-13.057561,11.139791,2.934612
216000,-0.603339,-1.582567,7.874529,-14.263667,11.002386,2.980413
220000,-0.667982,-1.556231,7.843405,-15.423972,10.010019,3.453696
224000,-0.684742,-1.666364,8.020576,-16.080460,8.803913,3.728505
228000,-0.634463,-1.644817,8.118738,-16.553743,8.132157,3.774307
232000,-0.646434,-1.663970,8.135497,-16.691147,7.490936,3.652169
236000,-0.715866,-1.666364,8.135497,-16.492674,6.880249,4.003314
240000,-0.732626,-1.695095,8.075643,-16.263666,5.979486,4.110185
244000,-0.696713,-1.728614,8.171411,-15.912522,5.353531,4.140719
248000,-0.667982,-1.637634,8.147469,-16.156796,4.956585,4.430795
252000,-0.593762,-1.632846,8.068460,-16.401072,4.040555,4.400261
