time_us,ax,ay,az,gx,gy,gz
0,-0.505177,-0.663194,8.798691,-1.820919,-3.257156,3.865910
4000,-0.457293,-0.684742,8.829816,-1.576644,-3.409827,3.209421
8000,-0.536301,-0.694318,8.753201,-1.347636,-3.928911,2.430795
12000,-0.500388,-0.727837,8.659827,-1.027026,-3.837308,1.896444
16000,-0.557849,-0.624887,8.568848,-1.164430,-3.791507,1.575833
20000,-0.555455,-0.737414,8.554482,-1.683514,-3.638835,1.484230
24000,-0.545878,-0.689530,8.374918,-2.156797,-3.180820,1.209421
28000,-0.569820,-0.826000,8.564059,-2.217866,-3.150285,1.117818
32000,-0.517148,-0.849942,8.523358,-2.492675,-3.257156,1.056749
36000,-0.658405,-0.857124,8.810662,-2.660614,-3.959446,1.087284
40000,-0.591368,-0.936133,8.765172,-2.798018,-3.760972,0.995681
44000,-0.512359,-1.010353,8.827422,-2.523209,-2.509064,1.087284
48000,-0.416591,-1.106121,8.858546,-2.614812,-1.486163,1.270490
52000,-0.423774,-1.113304,8.968679,-2.278934,-0.173186,1.178887
56000,-0.438139,-1.007959,8.959103,-1.973591,0.864982,0.934612
60000,-0.426168,-0.991199,8.990228,-1.652980,1.261928,0.476597
64000,-0.442927,-1.048660,8.975863,-1.149163,1.842081,-0.057755
68000,-0.476446,-0.940921,8.925584,-1.027026,1.872615,-0.424167
72000,-0.545878,-0.931344,8.848969,-0.859087,1.872615,-0.882182
76000,-0.610521,-0.948104,8.705317,-0.752217,1.933684,-1.340197
80000,-0.739808,-0.895431,8.736442,-1.271301,2.162692,-1.584472
84000,-0.701501,-0.864307,8.781932,-1.439240,2.422234,-2.347831
88000,-0.701501,-0.837971,8.714894,-1.347636,3.445134,-2.866915
92000,-0.818817,-0.809240,8.743625,-1.408705,3.277195,-3.279129
96000,-0.804452,-0.847547,8.829816,-0.981224,2.819180,-3.905083
100000,-0.881066,-0.873884,8.784326,-0.660614,2.040554,-4.302029
104000,-1.005565,-0.852336,8.719683,-0.385804,1.353531,-4.515770
108000,-1.046266,-0.888249,8.834604,-0.004125,0.376432,-4.729510
112000,-1.029507,-0.948104,8.923190,0.591295,0.071089,-4.775311
116000,-1.151611,-0.972046,8.925584,1.034043,0.330631,-4.302029
120000,-1.252167,-0.976834,8.815451,1.263050,0.376432,-4.088289
124000,-1.285686,-0.998382,8.868123,1.140913,0.010020,-3.218060
128000,-1.412579,-1.086968,8.848969,1.110379,-0.585400,-2.637907
132000,-1.549049,-1.060631,8.791509,1.003508,-2.264789,-1.706609
136000,-1.532289,-0.993594,8.801085,0.774501,-3.455629,-0.714243
140000,-1.553837,-0.969652,8.719683,0.301218,-4.203721,0.507131
144000,-1.395820,-0.938527,8.736442,0.026409,-4.829675,1.423162
148000,-1.271321,-0.881066,8.686164,0.148546,-4.646469,2.354459
152000,-1.067814,-0.905008,8.662222,0.591295,-3.989980,2.934612
156000,-0.950498,-0.857124,8.544906,0.728699,-2.982346,3.239955
160000,-0.933739,-0.689530,8.441956,-0.034660,-1.913644,3.056749
164000,-0.835576,-0.600945,8.389283,-0.691148,-0.860209,3.285757
168000,-0.809240,-0.579397,8.322245,-1.133896,-0.234255,2.843009
172000,-0.773327,-0.392649,8.192958,-0.935423,-0.066316,2.247589
176000,-0.869095,-0.373495,8.135497,-1.179698,-1.012881,1.423162
180000,-0.916979,-0.342371,8.180987,-1.362904,-3.196087,0.415528
184000,-1.010353,-0.392649,8.190564,-1.973591,-5.745705,-0.363098
188000,-1.058237,-0.490811,8.360553,-2.172064,-7.730438,-0.698976
192000,-1.065420,-0.512359,8.365341,-2.538476,-8.890744,-0.760045
196000,-1.079785,-0.502782,8.394072,-2.996492,-9.379293,-0.088289
200000,-1.034295,-0.438139,8.626308,-3.607178,-8.783874,0.079650
204000,-0.928950,-0.445322,8.743625,-4.095729,-8.142652,0.552933
208000,-0.938527,-0.466869,9.093178,-3.530843,-7.409827,0.262856
212000,-0.864307,-0.474052,9.081207,-2.920156,-7.119751,0.125452
216000,-0.893037,-0.438139,9.133880,-2.782751,-7.241889,0.308658
220000,-0.888249,-0.514753,9.038112,-2.752217,-6.692270,-0.073022
224000,-0.806846,-0.531513,9.004593,-2.538476,-6.127385,-0.134090
228000,-0.694318,-0.466869,9.179369,-2.584278,-6.096850,-1.095922
232000,-0.591368,-0.533907,9.294291,-1.286568,-0.646469,-0.943251
236000,-1.036689,-0.495600,8.954314,-2.263667,-6.402194,-3.065388
240000,-0.878672,-0.617704,9.016563,-1.149163,-5.608301,-2.805846
244000,-1.194707,-0.667982,9.313444,-0.584278,-6.677003,-3.065388
248000,-1.319205,-0.711078,9.318233,-0.630080,-10.783874,-3.355464
252000,-1.441309,-0.792481,9.437943,-0.172064,-11.425095,-2.958518
256000,-1.450886,-0.782904,9.332599,0.041676,-11.440362,-2.134090
260000,-1.443704,-0.802058,9.296685,0.698165,-10.432729,-0.821113
