time_us,ax,ay,az,gx,gy,gz
0,-0.560243,-1.029507,8.475474,-4.095729,-0.600667,1.438429
4000,-0.708684,-1.082179,8.391677,-4.263667,-0.295324,1.682703
8000,-0.598550,-1.024718,8.580819,-4.233133,0.513837,1.988047
12000,-0.730232,-1.039083,8.511387,-4.507942,1.216127,2.217055
16000,-0.761356,-1.065420,8.597578,-4.843820,1.139791,2.797207
20000,-0.826000,-1.098939,8.738836,-4.935423,1.032921,2.888810
24000,-0.758962,-1.122881,8.841787,-4.599545,0.635974,3.591101
28000,-0.694318,-1.142034,8.868123,-4.324736,1.139791,3.728505
32000,-0.723049,-1.173159,8.920795,-3.775118,0.773379,3.804841
36000,-0.658405,-1.098939,9.064447,-3.393438,0.635974,4.018581
40000,-0.629675,-1.079785,9.172187,-2.996492,-0.570133,3.988047
44000,-0.596156,-1.182736,9.174581,-2.599545,-0.768606,4.079650
48000,-0.620098,-1.189918,9.184157,-1.973591,-0.768606,4.201787
52000,-0.658405,-1.192312,9.145850,-1.652980,-0.249522,4.217055
56000,-0.644040,-1.158794,9.117120,-1.103362,0.590173,4.323925
60000,-0.632069,-1.211466,9.184157,-1.027026,1.063455,4.827742
64000,-0.672771,-1.264138,9.157822,-0.569010,1.979486,4.827742
68000,-0.684742,-1.278504,9.074024,-0.309469,3.048188,5.087284
72000,-0.782904,-1.271321,9.021352,0.056943,3.552005,5.178887
76000,-0.928950,-1.264138,8.947132,-0.156797,4.147425,5.377360
80000,-0.940921,-1.288081,8.848969,-0.080461,4.468035,5.942245
84000,-0.995988,-1.312023,8.999804,-0.538476,4.483303,6.232322
88000,-1.041478,-1.331176,8.959103,-0.446873,4.132157,6.705605
92000,-1.115698,-1.309628,8.932767,-0.492675,3.872615,6.858276
96000,-1.201889,-1.237802,8.980651,-0.126262,3.292463,7.209421
100000,-1.367089,-1.321599,8.995016,-0.095728,2.742844,7.911711
104000,-1.381454,-1.379060,8.985439,-0.004125,2.284829,8.522398
108000,-1.345541,-1.369483,9.109938,-0.019392,1.552005,8.980413
112000,-1.383849,-1.302446,9.028535,-0.004125,0.727577,9.514764
116000,-1.264138,-1.295263,9.105149,-0.004125,0.071089,10.384994
120000,-1.254562,-1.292869,9.205706,0.072211,-0.203721,10.629268
124000,-1.295263,-1.374272,9.263166,0.056943,0.254295,11.407894
128000,-1.280898,-1.388637,9.320627,0.148546,0.406966,11.865910
132000,-1.297657,-1.400608,9.284714,-0.004125,0.697043,12.507131
136000,-1.273715,-1.395820,9.289502,-0.324736,0.697043,12.934611
140000,-1.345541,-1.493982,9.425972,-0.233133,1.109257,13.575833
144000,-1.283292,-1.534683,9.476251,0.316485,1.231394,14.354459
148000,-1.307234,-1.601721,9.512163,0.866104,1.887883,14.949879
152000,-1.319205,-1.541866,9.490616,1.446256,2.651241,15.850642
156000,-1.414973,-1.608904,9.334992,1.812669,2.910783,16.110186
160000,-1.424550,-1.632846,9.418790,2.041676,2.666508,17.087284
164000,-1.455675,-1.604115,9.289502,2.545493,2.773379,17.636902
168000,-1.572991,-1.649605,9.311050,3.156180,2.697043,18.064383
172000,-1.584962,-1.707066,9.145850,3.614195,1.887883,18.675070
176000,-1.702277,-1.628057,8.985439,3.843203,1.460402,19.133085
180000,-1.814805,-1.735796,9.143456,3.843203,0.254295,20.033850
184000,-1.881842,-1.781286,9.332599,4.423356,-1.012881,20.720873
188000,-1.843535,-1.841141,9.387665,5.156180,-1.562499,21.697971
192000,-1.869871,-1.824382,9.414001,6.041677,-2.417461,22.384995
196000,-1.944092,-1.821988,9.392453,6.637096,-2.295324,23.010948
200000,-2.003947,-1.917756,9.562442,7.812669,-1.974713,24.125452
204000,-2.090138,-1.831564,9.612720,8.820302,-1.104484,25.514765
208000,-2.013524,-1.824382,9.454702,9.705798,-0.631201,26.858276
212000,-1.975216,-1.769315,9.385271,10.240149,0.498570,28.201788
216000,-2.042254,-1.707066,9.174581,10.118012,0.727577,28.904078
220000,-2.015918,-1.675941,9.222465,10.163814,1.185592,29.988047
224000,-1.944092,-1.651999,9.246407,10.347020,1.307730,30.949881
228000,-1.970428,-1.606509,9.057265,10.728700,1.032921,31.850643
232000,-1.946486,-1.616086,9.011775,10.713432,0.987119,32.736137
236000,-1.936909,-1.644817,8.966286,10.637096,1.322997,33.713238
240000,-1.912967,-1.575385,8.959103,10.087478,1.704676,34.491863
244000,-1.903390,-1.537078,8.935161,9.629462,1.048188,35.178886
248000,-1.934515,-1.568202,8.851364,9.049310,0.437501,35.988049
252000,-1.912967,-1.553837,8.729259,9.110378,0.132157,36.537666
256000,-1.960851,-1.611298,8.789114,8.911905,0.437501,37.148354
260000,-1.996764,-1.637634,8.657434,8.347020,1.063455,38.125454
264000,-2.056619,-1.692701,8.508993,7.766867,1.261928,38.781940
268000,-2.145205,-1.731008,8.465898,7.064577,1.155058,39.392628
272000,-2.207454,-1.697489,8.434772,6.576027,0.269562,40.232323
276000,-2.353500,-1.731008,8.463503,5.690531,-1.364026,41.087284
280000,-2.260126,-1.798046,8.693346,5.507325,-2.112118,41.957512
284000,-2.329558,-1.862689,8.772355,5.766867,-2.356392,43.010948
288000,-2.418144,-1.855506,8.667010,5.950073,-3.089217,44.171253
292000,-2.568978,-1.836353,8.621520,5.721066,-3.516698,45.484230
296000,-2.545036,-1.762132,8.475474,5.293585,-4.707537,46.919346
300000,-2.523489,-1.707066,8.468291,4.392821,-5.867843,48.110184
304000,-2.463634,-1.738190,8.631097,3.827936,-7.150285,49.896446
308000,-2.394202,-1.647211,8.554482,3.522592,-7.104484,51.606369
312000,-2.372654,-1.549049,8.413225,2.514959,-6.967079,53.056751
316000,-2.245761,-1.570596,8.499416,1.522592,-6.890743,55.010948
320000,-2.114080,-1.414973,8.406042,-0.004125,-6.020514,56.598736
324000,-1.900996,-1.352724,8.489840,-1.485041,-4.631201,57.988049
328000,-1.776498,-1.328782,8.573636,-2.859087,-3.119751,59.484230
332000,-1.711854,-1.292869,8.571242,-3.775118,-2.112118,60.507130
336000,-1.563414,-1.268927,8.698134,-4.721683,-1.073950,61.774307
340000,-1.410185,-1.328782,8.911219,-5.240767,0.513837,62.339191
344000,-1.359907,-1.400608,8.997410,-5.408706,2.269562,63.255222
348000,-1.431733,-1.417367,9.088389,-5.393438,4.208493,63.911713
352000,-1.391031,-1.419762,9.246407,-5.149163,5.689409,64.400261
356000,-1.371878,-1.465251,9.282320,-4.294202,6.345898,64.537666
360000,-1.407791,-1.474828,9.337387,-2.996492,6.315363,64.568199
364000,-1.482011,-1.515530,9.265560,-1.698782,5.353531,64.232323
368000,-1.537078,-1.575385,9.358934,-0.248400,3.109257,64.049118
372000,-1.623269,-1.584962,9.397242,1.690531,0.666508,63.545296
376000,-1.742979,-1.570596,9.358934,3.873737,-2.463263,63.667435
380000,-1.884237,-1.604115,9.100361,5.598928,-6.402194,63.484230
384000,-2.080561,-1.604115,8.963891,7.629462,-10.188454,64.094917
388000,-2.142811,-1.568202,8.942344,9.110378,-13.883110,64.766670
392000,-2.006341,-1.561020,8.913613,9.598928,-17.119751,65.789574
396000,-1.987187,-1.570596,8.870518,9.858470,-18.478531,66.812477
400000,-1.951274,-1.549049,8.805874,10.179081,-19.516699,68.064384
404000,-1.814805,-1.520318,8.834604,10.179081,-20.203720,69.438431
408000,-1.704672,-1.498770,8.805874,9.889005,-19.211355,70.736137
412000,-1.443704,-1.498770,8.760384,9.598928,-17.104485,71.988045
416000,-1.412579,-1.441309,8.858546,9.415722,-14.356393,72.995682
420000,-1.283292,-1.441309,8.990228,9.797401,-10.860209,74.125450
424000,-1.316811,-1.414973,8.889671,10.056944,-5.012881,75.133087
428000,-1.333570,-1.417367,8.781932,9.156180,-2.493797,75.926979
432000,-1.403002,-1.367089,8.667010,8.805036,-1.135018,76.568199
436000,-1.465251,-1.403002,8.456321,8.133280,-0.814408,77.362091
440000,-1.659182,-1.436521,8.429984,7.965341,-0.677003,78.232323
444000,-1.690306,-1.441309,8.339005,8.270684,0.208493,79.270493
448000,-1.917756,-1.477222,8.087613,8.545493,0.864982,80.843010
452000,-2.090138,-1.529895,7.910442,7.843203,0.697043,82.308655
