time_us,ax,ay,az,gx,gy,gz
0,0.330400,-1.472434,8.451532,-2.767484,-0.096850,-0.408900
4000,0.263362,-1.422156,8.532935,-2.614812,-0.264789,-0.302029
8000,0.344765,-1.386243,8.410830,-2.904888,-0.554866,-0.454701
12000,0.385466,-1.374272,8.453926,-3.286568,-1.058682,-0.653174
16000,0.373495,-1.403002,8.525752,-3.469774,0.162692,-0.760045
20000,0.459687,-1.453280,8.566454,-3.958324,1.719944,-0.592106
24000,0.378284,-1.374272,8.578424,-4.202599,2.239028,-1.019587
28000,0.505177,-1.422156,8.547300,-4.645347,2.849715,-1.492869
32000,0.330400,-1.498770,8.628703,-3.897255,2.498570,-1.492869
36000,0.191536,-1.477222,8.590396,-3.088094,0.116890,-1.645541
40000,0.196325,-1.419762,8.626308,-2.584278,-1.822041,-1.569205
44000,0.217872,-1.520318,8.822633,-2.217866,-1.791507,-1.569205
48000,0.325611,-1.371878,8.386889,-3.362904,-0.463263,-1.202793
52000,-0.033519,-1.565808,8.834604,-1.943056,-5.119751,-1.569205
56000,0.373495,-1.637634,8.762778,-0.431606,1.414600,-0.149358
60000,0.220267,-1.386243,8.576031,-0.859087,0.498570,-0.149358
64000,0.308852,-1.410185,8.497022,-2.385804,1.338264,0.064383
68000,0.110133,-1.575385,8.913613,-1.317102,-0.112117,0.430795
72000,0.325611,-1.486799,8.805874,-0.263667,1.597806,0.568200
76000,0.131681,-1.438915,8.542512,-0.950690,1.445134,0.797207
80000,0.311246,-1.520318,8.662222,-1.301835,0.162692,0.873543
84000,0.356736,-1.482011,8.671799,-1.240766,1.613073,1.133085
88000,0.308852,-1.474828,8.695741,-1.301835,1.948951,0.995681
92000,0.430956,-1.462857,8.635885,-0.981224,1.613073,1.072016
96000,0.438139,-1.417367,8.559271,-0.752217,1.170325,1.056749
100000,0.414197,-1.472434,8.614338,-0.370538,1.246661,0.598734
104000,0.440533,-1.371878,8.717288,-0.233133,2.010020,0.446062
108000,0.387861,-1.369483,8.597578,-0.126262,2.116890,-0.011953
112000,0.409408,-1.386243,8.614338,-0.004125,1.842081,-0.408900
116000,0.426168,-1.335965,8.616732,0.331753,1.933684,-0.637907
120000,0.383072,-1.393425,8.595184,0.728699,1.948951,-0.729510
124000,0.375890,-1.383849,8.497022,0.789768,1.979486,-1.111190
128000,0.363919,-1.424550,8.530540,0.530226,1.521470,-1.324930
132000,0.296881,-1.407791,8.456321,0.392821,1.322997,-1.737144
136000,0.213084,-1.470040,8.561666,0.118012,1.277195,-1.721877
140000,0.225055,-1.453280,8.635885,0.118012,1.139791,-1.553938
144000,0.225055,-1.503559,8.528147,0.087478,1.261928,-1.523403
148000,0.038307,-1.539472,8.508993,-0.446873,1.506203,-1.615006
152000,0.064643,-1.537078,8.350976,-0.752217,1.170325,-1.477602
156000,0.064643,-1.544260,8.578424,-1.118629,1.414600,-1.126457
160000,0.090980,-1.546654,8.683769,-1.469774,1.704676,-0.973785
164000,0.011971,-1.575385,8.757990,-1.423972,1.582539,-0.653174
168000,-0.011971,-1.563414,8.839393,-0.965957,1.826814,-0.469968
172000,-0.045490,-1.640028,8.836999,-0.721682,1.567272,-0.256228
176000,-0.045490,-1.654393,8.896853,-0.019392,1.246661,0.537665
180000,0.019154,-1.644817,8.939949,0.637096,1.078722,0.644536
184000,0.071826,-1.592144,8.870518,1.171447,0.941318,0.629268
188000,0.205901,-1.527501,8.743625,1.690531,0.712310,0.644536
192000,0.213084,-1.544260,8.619126,2.240149,0.590173,0.568200
196000,0.239420,-1.556231,8.571242,2.118012,0.376432,0.476597
200000,0.263362,-1.496376,8.482656,1.965340,0.376432,0.415528
204000,0.225055,-1.486799,8.410830,1.690531,0.208493,0.461329
208000,0.208296,-1.410185,8.343793,1.278317,0.315363,0.354459
