time_us,ax,ay,az,gx,gy,gz
0,1.211466,-0.909797,8.762778,-2.965957,2.147424,-0.683709
4000,1.237802,-0.876278,8.877700,-2.584278,1.429867,-1.080655
8000,1.144428,-0.847547,8.829816,-2.065194,0.834447,-1.660808
12000,1.101333,-0.883460,9.030929,-1.454507,0.071089,-1.767678
16000,1.067814,-0.914585,8.911219,-1.027026,-0.386927,-1.905083
20000,1.060631,-0.907402,8.913613,-0.782751,-0.631201,-1.844014
24000,1.130063,-0.881066,9.006987,-0.630080,-0.799140,-2.103556
28000,1.154005,-0.866701,8.839393,-0.294202,-0.463263,-1.813480
32000,1.175553,-0.878672,8.590396,-0.004125,-0.646469,-1.935617
36000,1.122881,-0.826000,8.530540,-0.187331,-0.615934,-2.149358
40000,1.086968,-0.811634,8.494628,-0.736950,-0.371659,-2.088289
44000,1.185130,-0.861913,8.504205,-0.813286,0.071089,-2.179892
48000,1.213860,-0.814029,8.432379,-1.256034,-0.432728,-2.332564
52000,1.216254,-0.761356,8.528147,-1.576644,-1.684637,-2.469968
56000,1.182736,-0.847547,8.549694,-1.652980,-2.738072,-2.821113
60000,1.233014,-0.873884,8.736442,-1.607178,-3.608301,-2.866915
64000,1.132457,-0.854730,8.726865,-1.683514,-3.883110,-2.943251
68000,1.189918,-0.821211,8.798691,-1.973591,-3.913644,-3.263861
72000,1.187524,-0.900220,8.851364,-1.637713,-3.654102,-3.385999
76000,1.189918,-0.919373,8.990228,-1.057560,-3.470896,-3.294396
80000,1.154005,-0.914585,8.920795,-0.477408,-3.241888,-3.263861
84000,1.266533,-0.940921,8.899248,0.041676,-2.707537,-3.141724
88000,1.170765,-0.938527,8.973468,0.041676,-1.730438,-3.324930
92000,1.256956,-0.912191,8.959103,0.194348,-1.196087,-3.263861
96000,1.314417,-0.955287,9.018958,0.453890,0.284829,-3.263861
100000,1.319205,-0.933739,9.114726,0.759233,1.506203,-3.401266
104000,1.379060,-0.936133,9.004593,1.217249,2.574905,-3.187526
108000,1.424550,-0.897826,8.975863,1.400455,3.933684,-3.324930
112000,1.472434,-0.912191,8.839393,1.446256,5.093989,-3.431800
116000,1.438915,-0.883460,8.726865,1.476791,5.460402,-3.660808
120000,1.496376,-0.778116,8.609550,1.247783,4.651241,-3.752411
124000,1.534683,-0.814029,8.700529,0.743966,3.628341,-4.149358
128000,1.594538,-0.821211,8.731653,0.743966,2.574905,-4.989052
132000,1.625663,-0.811634,8.844181,0.637096,1.750478,-5.218060
136000,1.680730,-0.809240,8.877700,0.698165,1.170325,-5.721877
140000,1.759738,-0.766145,8.889671,1.003508,1.399333,-6.042487
144000,1.709460,-0.766145,8.757990,1.110379,0.987119,-6.607373
148000,1.635240,-0.780510,8.743625,0.927172,0.376432,-7.004319
152000,1.618480,-0.751779,8.674192,0.805035,0.010020,-7.416533
156000,1.616086,-0.761356,8.767567,0.331753,-0.112117,-7.233327
160000,1.582567,-0.828394,8.760384,0.011142,0.223760,-7.248594
164000,1.640028,-0.816423,8.734048,0.255417,0.437501,-7.126457
168000,1.723825,-0.816423,8.791509,-0.080461,0.941318,-7.401266
172000,1.879448,-0.715866,8.884883,-0.324736,1.399333,-7.691342
176000,1.872266,-0.756568,9.006987,-0.233133,2.040554,-7.950884
180000,1.821988,-0.782904,8.947132,0.270684,1.964218,-8.347831
184000,1.915361,-0.785298,9.009381,0.331753,1.933684,-8.912717
188000,2.015918,-0.758962,8.959103,0.652363,2.452768,-9.080656
192000,2.109292,-0.718261,8.975863,1.034043,3.261928,-9.416533
196000,2.061408,-0.739808,8.959103,1.125646,2.849715,-10.210426
200000,2.102109,-0.682347,9.100361,1.308852,2.819180,-10.546305
204000,2.276886,-0.701501,9.078813,1.598928,3.613073,-11.233328
208000,2.375048,-0.682347,8.963891,1.843203,3.872615,-11.828747
212000,2.387019,-0.679953,8.999804,2.530226,3.826814,-12.683709
216000,2.432509,-0.696713,9.045294,2.713432,3.933684,-13.294396
220000,2.427721,-0.677559,8.987833,2.805035,3.994753,-14.164625
224000,2.485181,-0.691924,8.985439,2.972974,4.086356,-14.821114
228000,2.446874,-0.754174,9.009381,3.079844,4.651241,-15.676076
232000,2.394202,-0.711078,8.980651,3.064577,4.834447,-16.103556
236000,2.480393,-0.677559,8.911219,3.034043,5.338264,-16.622639
240000,2.731784,-0.684742,9.002198,2.514959,5.933684,-17.431799
244000,2.777274,-0.663194,8.999804,2.316485,7.277195,-18.317295
248000,2.726996,-0.713472,9.105149,2.423356,8.040554,-19.462334
252000,2.784456,-0.641646,9.006987,2.576027,8.376431,-20.760044
256000,2.671929,-0.658405,9.059659,2.866104,8.895515,-21.721876
260000,2.604892,-0.648829,8.956709,3.537859,8.574905,-22.332563
264000,2.535460,-0.629675,8.892065,3.629463,8.437500,-23.187525
268000,2.506729,-0.708684,8.923190,3.980608,8.574905,-23.737143
272000,2.485181,-0.598550,8.820239,3.950073,8.544371,-24.240959
276000,2.509123,-0.639252,8.825027,4.408089,8.406966,-24.790579
280000,2.463634,-0.622492,8.640674,4.194348,7.948951,-25.630274
284000,2.561796,-0.615310,8.714894,3.904272,8.101623,-26.286762
288000,2.607286,-0.624887,8.602366,3.278317,7.735211,-26.897449
292000,2.592921,-0.608127,8.482656,2.896638,7.643608,-27.431799
296000,2.638410,-0.665588,8.403648,2.133279,8.269562,-28.500502
300000,2.614468,-0.615310,8.374918,1.568394,8.666508,-29.279127
304000,2.669535,-0.591368,8.370130,0.896638,8.590172,-30.332563
308000,2.626439,-0.567426,8.429984,0.331753,9.124523,-31.050119
312000,2.659958,-0.605733,8.317456,0.148546,9.093989,-31.996685
316000,2.595315,-0.541090,8.250419,-0.874354,7.613074,-33.172256
320000,2.516306,-0.632069,8.382100,-1.591912,5.811547,-34.454700
324000,2.425326,-0.603339,8.604761,-1.775118,5.384066,-35.080654
328000,2.355895,-0.687136,8.899248,-1.591912,4.803913,-35.752411
332000,2.248155,-0.742203,9.059659,-1.256034,4.376432,-36.363098
336000,2.178724,-0.799663,9.145850,-0.538476,4.269562,-36.637905
340000,2.133234,-0.821211,9.085996,0.041676,4.926051,-36.683708
344000,2.188300,-0.890643,9.279925,0.285951,5.918417,-37.080654
348000,2.056619,-0.845153,9.270349,0.728699,7.185593,-37.019585
352000,2.056619,-1.003170,9.191340,1.537859,7.811547,-37.218060
356000,2.111686,-0.995988,9.246407,2.484425,8.422234,-37.233326
360000,2.291251,-1.010353,9.224859,3.049310,9.979486,-37.691341
364000,2.415750,-0.972046,9.179369,3.415722,11.567271,-38.469967
368000,2.516306,-0.998382,9.107543,3.889004,12.529103,-39.202793
372000,2.511518,-0.895431,8.975863,4.072211,12.910783,-40.210426
376000,2.552219,-0.940921,8.983045,3.995875,12.635974,-41.645538
380000,2.487576,-0.909797,8.954314,4.026409,11.933683,-43.050121
384000,2.456451,-0.938527,9.028535,3.873737,11.032920,-43.813480
388000,2.499547,-0.991199,9.093178,4.545493,10.071088,-44.775311
392000,2.432509,-1.065420,9.188946,4.713432,10.162691,-45.630272
396000,2.516306,-1.051055,9.045294,5.232516,11.353531,-46.576839
400000,2.451663,-1.067814,8.781932,5.476791,11.826814,-47.248592
404000,2.434903,-1.149217,8.844181,5.232516,12.086355,-48.011951
408000,2.408567,-1.132457,8.846576,4.927173,12.758111,-48.943249
412000,2.398990,-1.115698,8.690952,4.896638,13.017653,-49.279129
416000,2.365471,-1.163582,8.671799,5.415722,12.681775,-49.966152
420000,2.535460,-1.132457,8.731653,5.537859,12.605439,-50.989052
424000,2.561796,-1.127669,8.815451,5.537859,13.093989,-51.920349
428000,2.535460,-1.113304,8.894460,5.507325,13.353531,-52.653175
432000,2.638410,-1.098939,8.980651,5.919539,13.918416,-53.279129
436000,2.638410,-1.031901,8.851364,6.270684,14.773378,-54.485233
440000,2.734178,-1.000776,8.846576,6.530226,15.414599,-55.798210
444000,2.748544,-1.015141,8.779537,6.576027,15.796280,-57.050121
448000,2.746149,-0.993594,8.614338,6.545493,15.658875,-58.531036
452000,2.624045,-0.955287,8.734048,6.637096,15.490935,-59.828747
456000,2.533065,-0.972046,8.789114,6.805035,15.506203,-60.927982
460000,2.315193,-0.905008,8.528147,6.850837,15.613073,-61.630272
464000,2.159570,-0.972046,8.535329,7.324119,15.170325,-62.179890
