time_us,ax,ay,az,gx,gy,gz
0,-0.105345,-0.462081,8.813056,-3.607178,2.376432,0.736139
4000,-0.059855,-0.507571,8.856153,-3.729316,3.063455,0.675070
8000,-0.062249,-0.462081,8.848969,-3.607178,3.628341,0.736139
12000,-0.014365,-0.548272,8.781932,-3.652980,3.307730,0.629268
16000,-0.114922,-0.526724,8.858546,-3.561377,2.849715,0.614001
20000,-0.215478,-0.538695,8.997410,-3.469774,2.239028,0.583467
24000,-0.189142,-0.497994,8.822633,-3.210232,1.613073,0.781940
28000,-0.174777,-0.488417,8.836999,-2.889621,1.246661,0.797207
32000,-0.222661,-0.488417,8.935161,-2.599545,0.910783,0.919345
36000,-0.162806,-0.495600,8.918402,-2.263667,0.513837,0.949879
40000,-0.047884,-0.445322,8.949526,-1.836186,0.330631,0.751406
44000,-0.126893,-0.375890,8.832211,-1.820919,0.391699,0.736139
48000,-0.110133,-0.368707,8.765172,-1.714049,0.498570,0.888810
52000,-0.179565,-0.478840,8.734048,-1.607178,0.681776,0.552933
56000,-0.165200,-0.464475,8.681376,-1.729316,1.231394,0.461329
60000,-0.136469,-0.387861,8.643068,-2.233133,1.933684,0.400261
64000,-0.129287,-0.438139,8.477868,-2.477408,2.590173,0.278123
68000,-0.287304,-0.478840,8.468291,-2.706415,1.964218,-0.134090
72000,-0.332794,-0.464475,8.566454,-3.011759,1.399333,-0.088289
76000,-0.296881,-0.509965,8.559271,-3.271301,0.941318,-0.531037
80000,-0.387861,-0.550666,8.592790,-2.965957,-0.188453,-0.424167
84000,-0.567426,-0.497994,8.525752,-3.286568,-1.593034,0.155986
88000,-0.435745,-0.495600,8.604761,-4.126263,-2.386927,0.491864
92000,-0.265756,-0.553061,8.650250,-4.660614,-2.539598,0.155986
96000,-0.191536,-0.507571,8.872911,-4.614813,-3.364026,0.003314
100000,-0.146046,-0.533907,8.805874,-4.706415,-3.043415,-0.256228
104000,-0.134075,-0.545878,8.746018,-4.431606,-3.012881,-0.317297
108000,-0.272939,-0.569820,8.927979,-4.675881,-2.554866,-0.637907
112000,-0.241814,-0.598550,8.899248,-4.477407,-1.394560,-0.408900
116000,-0.244209,-0.639252,9.052477,-4.920156,-0.005247,-0.134090
120000,-0.265756,-0.684742,9.030929,-4.492675,1.521470,0.278123
124000,-0.186748,-0.670376,9.107543,-4.309469,2.483302,0.430795
128000,-0.153229,-0.612916,9.153033,-3.637713,3.032921,0.369726
132000,-0.100556,-0.675165,9.255983,-2.904888,4.208493,0.308658
136000,-0.088585,-0.636858,9.150639,-2.110996,5.200860,0.018581
140000,-0.201113,-0.658405,9.174581,-1.805652,4.864982,-0.027220
144000,-0.208296,-0.703895,9.188946,-1.103362,5.155058,-0.179892
148000,-0.229843,-0.656011,9.117120,-0.843820,5.719944,-0.317297
152000,-0.208296,-0.689530,9.030929,-0.431606,5.536737,-0.164625
156000,-0.193930,-0.639252,8.805874,-0.324736,5.567272,-0.195159
160000,-0.289698,-0.663194,8.705317,-0.278934,4.681776,-0.439434
164000,-0.232238,-0.656011,8.710106,-0.385804,4.239028,-0.485235
168000,-0.225055,-0.632069,8.621520,-0.599545,4.590173,-0.424167
172000,-0.237026,-0.600945,8.547300,-0.401072,4.452768,-0.531037
176000,-0.239420,-0.608127,8.434772,-0.706415,4.086356,-0.576838
180000,-0.260968,-0.572214,8.418014,-1.179698,3.750478,-0.576838
184000,-0.313640,-0.536301,8.576031,-1.240766,3.918417,-0.469968
188000,-0.361524,-0.586579,8.513782,-1.225499,3.948951,-0.683709
192000,-0.292093,-0.557849,8.468291,-1.561377,3.613073,-0.851648
196000,-0.373495,-0.486023,8.434772,-1.851454,3.658875,-0.592106
200000,-0.440533,-0.541090,8.377312,-2.309469,3.368799,-0.668442
204000,-0.450110,-0.557849,8.446744,-2.920156,3.124524,-0.561571
208000,-0.440533,-0.603339,8.480263,-3.317102,2.803913,-0.363098
212000,-0.533907,-0.543484,8.434772,-3.790385,2.269562,-0.256228
216000,-0.502782,-0.620098,8.583213,-4.324736,1.948951,0.278123
220000,-0.409408,-0.586579,8.518570,-4.691149,1.994753,0.491864
224000,-0.335188,-0.648829,8.588001,-4.965958,1.994753,0.766673
228000,-0.177171,-0.651223,8.825027,-4.736950,2.422234,0.827742
232000,-0.244209,-0.627281,8.937555,-5.057561,2.681776,0.980413
236000,-0.088585,-0.730232,9.028535,-4.523210,2.803913,0.644536
240000,-0.124498,-0.672771,9.162610,-4.294202,3.582539,0.614001
244000,-0.141258,-0.667982,9.162610,-4.110995,4.055821,0.323925
248000,-0.146046,-0.770933,9.284714,-4.202599,5.109257,0.339192
252000,-0.196325,-0.806846,9.399636,-3.332370,5.414600,0.644536
256000,-0.146046,-0.792481,9.390059,-2.523209,5.155058,0.186520
260000,-0.162806,-0.845153,9.485827,-1.759850,4.926051,0.308658
264000,-0.098162,-0.854730,9.481039,-0.324736,5.414600,-0.042487
268000,-0.074220,-0.905008,9.337387,0.606562,5.185593,-0.164625
272000,-0.126893,-0.900220,9.430760,1.827936,4.742845,-0.576838
276000,-0.136469,-0.876278,9.267955,2.881371,4.605440,-1.050121
280000,-0.234632,-0.885855,9.155427,3.369921,3.781013,-1.279129
284000,-0.373495,-0.866701,8.987833,3.919539,2.926050,-1.447067
288000,-0.469264,-0.857124,8.868123,4.072211,1.994753,-1.447067
292000,-0.426168,-0.751779,8.657434,3.934806,1.002386,-1.447067
296000,-0.363919,-0.713472,8.623915,3.675264,0.819180,-1.538671
300000,-0.428562,-0.660800,8.657434,3.690531,1.918417,-1.416533
304000,-0.430956,-0.622492,8.530540,3.522592,3.139791,-1.172258
308000,-0.545878,-0.529119,8.094796,2.942440,3.781013,-0.973785
312000,-0.543484,-0.493206,8.049306,2.408089,4.483303,-0.683709
316000,-0.596156,-0.509965,7.958326,1.843203,5.216127,-0.393632
320000,-0.596156,-0.433351,7.781156,0.942440,5.918417,0.064383
324000,-0.651223,-0.366313,7.833828,-0.080461,5.796279,0.690337
328000,-0.591368,-0.404620,7.807492,-1.164430,5.506203,0.888810
332000,-0.591368,-0.402226,7.967903,-1.820919,4.422234,1.056749
336000,-0.548272,-0.402226,8.329428,-1.958324,2.941318,1.453696
340000,-0.407014,-0.385466,8.604761,-1.423972,2.025287,1.117818
344000,-0.344765,-0.395043,8.827422,-0.920156,1.429867,1.102551
348000,-0.193930,-0.435745,8.966286,-0.095728,0.651241,0.247589
352000,-0.153229,-0.531513,9.093178,0.743966,0.605440,-0.271495
356000,-0.191536,-0.466869,8.908825,1.171447,0.697043,-0.973785
360000,-0.184354,-0.521936,8.923190,1.583661,0.513837,-1.233327
364000,-0.213084,-0.569820,8.908825,1.629462,0.376432,-1.691342
368000,-0.251391,-0.622492,9.006987,1.492058,0.254295,-1.889816
